MESES,INFLACION %,DESEMPLEO %,CRECIMIENTO PIB %,SALARIO Prom/Mes,Exportaciones (millones DLS),Tipo de cambio promedio (MXN/USD)
Enero,7.91%,2.90%,0%,8822.39,"42,591",18.96
Febrero,7.62%,2.80%,0%,8822.39,"46,246",18.6
Marzo,6.85%,2.70%,1%,8822.39,"53,557",18.15
Abril,6.25%,2.80%,0%,8822.39,"46,224",18
Mayo,5.84%,2.90%,0%,8822.39,"52,926",17.74
Junio,5.06%,2.70%,0.80%,8822.39,"52,911",17.17
Julio,4.79%,3.10%,0%,8822.39,"51,169",16.85
Agosto,4.64%,3.00%,0%,8822.39,"52,360",17
Septiembre,4.45%,2.90%,0.50%,8822.39,"51,531",17.2
Octubre,4.24%,2.70%,0%,8822.39,"53,097",17.5
Noviembre,4.24%,2.70%,0%,8822.39,"51,868",17.65
Diciembre,4.66%,2.60%,0.10%,8822.39,"49,250",17.8
